name,operatingTime,popularity,releases,cbo,dit,lcom_as,loc
java-design-patterns,8,76836,0,3,6,0,58582
advanced-java,4,65445,1,2,6,0,58582
elasticsearch,12,61176,96,4,176,0,3414311
Java,6,47796,0,2,176,0,3461598
guava,8,45727,35,2,176,0,3920813
lottie-android,6,33205,43,2,176,0,3949806
AndroidUtilCode,6,31371,116,2,176,0,4022532
zxing,11,30111,28,2,176,0,4097331
dbeaver,7,28369,159,2,176,0,4840264
JCSprout,5,26819,0,2,176,0,4848033
netty,12,29932,0,2,176,0,5412923
spring-boot-examples,6,28012,0,2,176,0,5418505
druid,11,26033,45,2,176,0,6023290
butterknife,9,25679,0,2,176,0,6036787
miaosha,4,25302,0,2,176,0,6052176
fastjson,11,24968,84,2,176,0,6395727
fastjson,11,24968,84,2,176,0,6395727
vhr,4,24858,0,2,176,0,6401233
selenium,9,24612,76,2,176,0,6563767
EventBus,10,24106,7,2,176,0,6572824
nacos,4,23950,47,2,176,0,6774354
SpringAll,4,24273,0,2,176,0,6785376
toBeTopJavaer,4,23859,0,2,176,0,6785376
kafka,11,23091,0,2,176,0,7526023
Hystrix,10,22930,79,2,176,0,7634347
xxl-job,7,22535,31,2,176,0,7650682
NewPipe,7,20956,121,2,176,0,7720533
libgdx,10,20486,9,2,176,0,8227150
skywalking,7,20239,53,1,176,0,8343968
redisson,8,19819,112,1,176,0,8585099
ExoPlayer,8,19819,20,2,176,0,8977254
litemall,4,17376,8,2,176,0,9120161
shardingsphere,6,17335,49,2,176,0,9435460
cat,10,17172,3,2,176,0,9608693
Android-Universal-Image-Loader,11,16798,0,2,176,0,9621639
zheng,6,16348,0,2,176,0,9687816
Mindustry,5,15996,140,2,176,0,9687816
Android-CleanArchitecture,8,15205,0,2,176,0,9691737
disruptor,10,15178,13,2,176,0,9714183
Apktool,10,14842,15,2,176,0,9736050
SpringBoot-Learning,6,14718,0,2,176,0,9740764
SpringAll,4,24273,0,2,176,0,9751786
EventBus,10,24106,7,2,176,0,9760843
canal,9,24086,25,2,176,0,9937288
nacos,4,23950,47,2,176,0,10138818
hutool,8,23913,121,2,176,0,10353187
toBeTopJavaer,4,23859,0,2,176,0,10353187
SmartRefreshLayout,5,23812,10,2,176,0,10388531
spring-cloud-alibaba,5,23639,30,2,176,0,10414114
halo,4,23580,87,2,176,0,10455084
BaseRecyclerViewAdapterHelper,6,23119,193,2,176,0,10461986
kafka,11,23091,0,2,176,0,11202633
Hystrix,10,22930,79,2,176,0,11310957
seata,4,22821,33,2,911,0,11625110
Signal-Android,11,22793,0,2,911,0,12038286
xxl-job,7,22535,31,2,911,0,12054621
gson,7,21379,4,2,911,0,12109087
NewPipe,7,20956,121,2,911,0,12178938
Telegram,9,20731,75,2,1456,0,13752653
libgdx,10,20486,9,2,1456,0,14259270
skywalking,7,20239,53,2,1456,0,14376088
skywalking,7,20239,53,2,1456,0,14376088
quarkus,4,10693,190,2,1456,0,15385564
android-async-http,11,10644,3,2,1456,0,15399592
webmagic,9,10531,21,2,1456,0,15415337
mit-deep-learning-book-pdf,5,10521,3,2,1456,0,15415339
interview,8,10519,0,2,1456,0,15467333
ImmersionBar,5,10504,0,2,1456,0,15481091
Sa-Token,2,10291,25,2,1456,0,15511340
MVPArms,6,10188,25,2,1456,0,15522197
dex2jar,7,10176,6,2,1456,0,15598387
algorithm-base,1,10139,0,2,1456,0,15598387
rocketmq,6,18087,7,2,1456,0,15893654
FizzBuzzEnterpriseEdition,10,17959,0,2,1456,0,15895144
GSYVideoPlayer,6,17807,40,2,1456,0,15949713
mybatis-3,9,17708,38,2,1456,0,16047214
graal,6,17472,32,2,1456,0,18320722
leetcode,4,17425,19,2,1456,0,18326318
litemall,4,17376,8,2,1456,0,18469225
shardingsphere,6,17335,49,2,1456,0,18784524
HikariCP,9,17265,0,2,1456,0,18804200
cat,10,17172,3,2,1456,0,18977433
SpringCloudLearning,5,16880,0,2,1456,0,18979338
fresco,7,16856,45,2,1456,0,19105776
Android-Universal-Image-Loader,11,16798,0,2,1456,0,19118722
tinker,6,16543,51,2,1456,0,19189996
zheng,6,16348,0,2,1456,0,19256173
Mindustry,5,15996,140,2,1456,0,19256173
java8-tutorial,8,15939,0,2,1456,0,19260018
termux-app,7,15811,89,2,1456,0,19305108
zipkin,10,15659,67,2,1456,0,19305108
Android-CleanArchitecture,8,15205,0,2,1456,0,19309029
Signal-Server,9,7823,0,2,1456,0,19369652
react-native-image-picker,7,7733,108,2,1456,0,19371165
shardingsphere-elasticjob,7,7686,27,2,1456,0,19410862
metrics,12,7623,92,2,1456,0,19454665
UltimateAndroidReference,5,7565,0,2,1456,0,19454705
languagetool,9,7548,0,2,1456,0,19793798
dataease,1,7361,35,2,1456,0,19877326
hellocharts-android,8,7344,14,2,1456,0,19896192
vjtools,4,7325,9,2,1456,0,19929742
EhViewer,8,7266,97,2,1456,0,20008579
presto,10,13912,0,2,1456,0,21171307
QMUI_Android,5,13784,35,2,1456,0,21277189
APIJSON,6,13767,89,2,1456,0,21297580
JustAuth,3,13756,45,2,1456,0,21306834
VirtualXposed,5,13680,50,2,1456,0,21388216
keycloak,9,13563,25,2,1456,0,22280567
Material-Animations,7,13558,0,2,1456,0,22282456
mybatis-plus,6,13520,22,2,1456,0,22316302
Algorithms,5,13492,0,2,1456,0,22375310
openapi-generator,4,13469,49,2,1456,0,22700372
logger,7,13401,16,2,1456,0,22701805
mockito,10,13302,191,2,1456,0,22788178
bytecode-viewer,8,13259,58,2,1456,0,22822669
Android-PickerView,8,13181,0,2,1456,0,22831041
Arduino,12,13172,37,2,1456,0,22879450
vert.x,11,13146,0,2,1456,0,23139362
Luban,6,13067,6,2,1456,0,23141306
antlr4,12,12962,27,2,1456,0,23217497
hadoop,8,12934,0,2,1456,0,26079968
flink-learning,3,12716,0,2,1456,0,26097499
pulsar,6,11588,59,2,1456,0,26873215
eureka,10,11476,142,2,1456,0,26930844
mall-learning,3,11368,0,2,1456,0,26973596
Mybatis-PageHelper,8,11340,11,2,1456,0,26986906
realm-java,10,11320,0,2,1456,0,27193155
uCrop,6,11318,15,2,1456,0,27201541
spring-boot-admin,8,11182,85,2,1456,0,27223622
androidannotations,10,11157,0,2,1456,0,27275695
SlidingMenu,10,11153,0,2,1456,0,27281478
AndroidViewAnimations,8,12185,9,2,1456,0,27283075
zuul,9,12174,5,2,1456,0,27316630
jib,4,12153,141,2,1456,0,27380924
banner,6,12130,0,2,1456,0,27385832
druid,10,12050,50,2,1456,0,28402724
ip2region,7,12046,0,2,1456,0,28407215
DataX,4,11984,1,2,1456,0,28514731
spring-analysis,6,11975,0,2,1456,0,28515404
Auto.js,5,11902,0,2,1456,0,28602046
PictureSelector,5,11894,111,2,1456,0,28673311
piggymetrics,7,11883,2,2,1456,0,28676718
jd-gui,7,11649,18,2,1456,0,28710151
VasSonic,5,11588,10,2,1456,0,28723642
pulsar,6,11588,59,2,1456,0,29499358
eureka,10,11476,142,2,1456,0,29556987
lombok,13,11470,3,2,1456,0,29556987
guice,8,11455,15,2,1456,0,29691307
mall-learning,3,11368,0,2,1456,0,29734059
Mybatis-PageHelper,8,11340,11,2,1456,0,29747369
realm-java,10,11320,0,2,1456,0,29953618
uCrop,6,11318,15,2,1456,0,29962004
spring-boot-admin,8,11182,85,2,1456,0,29984085
androidannotations,10,11157,0,2,1456,0,30036158
SlidingMenu,10,11153,0,2,1456,0,30041941
PermissionsDispatcher,7,11037,40,2,1456,0,30046757
source-code-hunter,3,10891,0,2,1456,0,30046757
vlayout,5,10832,34,2,1456,0,30071983
zookeeper,13,10814,0,2,1456,0,30281024
fullstack-tutorial,4,10755,0,2,1456,0,30281024
Grasscutter,0,10740,2,2,1456,0,30281024
FlycoTabLayout,7,10708,4,2,1456,0,30286108
quarkus,4,10693,190,2,1456,0,31295584
jedis,12,10672,69,2,1456,0,31408116
android-async-http,11,10644,3,2,1456,0,31422144
FileDownloader,7,10626,65,2,1456,0,31447467
webmagic,9,10531,21,2,1456,0,31463212
mit-deep-learning-book-pdf,5,10521,3,2,1456,0,31463214
interview,8,10519,0,2,1456,0,31515208
ImmersionBar,5,10504,0,2,1456,0,31528966
okhttp-OkGo,6,10445,14,2,1456,0,31553433
JiaoZiVideoPlayer,6,10422,78,2,1456,0,31561853
neo4j,10,10418,72,2,1456,0,32533807
RxPermissions,7,10367,11,2,1456,0,32535499
Java,7,10305,0,2,1456,0,32555907
Sa-Token,2,10291,25,2,1456,0,32586156
CtCI-6th-Edition,7,10223,0,2,1456,0,32626412
SmarterStreaming,6,10205,0,2,1456,0,32645408
ViewPagerIndicator,11,10200,0,2,1456,0,32650800
MVPArms,6,10188,25,2,1456,0,32661657
dex2jar,7,10176,6,2,1456,0,32737847
algorithm-base,1,10139,0,2,1456,0,32737847
platform_frameworks_base,14,10118,0,2,1456,0,32737847
grpc-java,8,10036,115,2,1456,0,33108854
zaproxy,7,9841,282,2,1456,0,33485773
javapoet,9,9806,0,2,1456,0,33499203
Fragmentation,6,9732,30,2,1456,0,33515520
jsoup,13,9717,8,2,1456,0,33566617
glide-transformations,7,9704,0,2,1456,0,33892328
clojure,12,9665,0,2,1456,0,33965985
AVLoadingIndicatorView,7,9654,1,2,1456,0,33970007
android-Ultra-Pull-To-Refresh,8,9642,8,2,1456,0,33979840
onedev,4,9633,187,2,1456,0,34410524
Android-ObservableScrollView,8,9616,0,2,1456,0,34432830
react-native-camera,7,9580,144,2,1456,0,34432830
easypermissions,7,9553,12,2,1456,0,34435893
paascloud-master,4,9448,0,2,1456,0,34464599
AndroidSlidingUpPanel,9,9434,8,2,1456,0,34468338
PocketHub,11,9421,1,2,1456,0,34481068
spark,11,9361,0,3,5,0,18162
mall-swarm,3,9354,2,2,5,0,17509
DanmakuFlameMaster,9,9341,5,3,14,0,21841
Mycat-Server,8,9322,7,2,14,0.25,196619
Java-WebSocket,12,9314,14,1,14,0,224085
newbee-mall,3,9267,0,1,14,0,231509
android-interview-questions,5,9250,0,1,14,0,231517
MagicIndicator,6,9246,12,1,14,0,240110
android-gif-drawable,9,9184,57,1,14,0,245476
questdb,8,9180,54,1,37,0,780197
spring-boot-api-project-seed,5,9164,4,4,4,0,910
JsBridge,7,9076,0,1,4,0,2760
MaterialDesignLibrary,8,9072,3,2,6,0,8053
OpenRefine,10,8997,37,3,7,0,129439
Activiti,10,8961,34,4,8,0,271346
DSA-Bootcamp-Java,1,8930,0,1,8,0,280955
jvm,4,8917,0,1,8,0,280963
VirtualApp,6,8903,0,1,303,0,360626
storm,11,8895,0,3,20,0.125,98665
StatusBarUtil,6,8780,0,1,20,0,100622
Android-PullToRefresh,11,8756,0,1,20,0,106944
VirtualAPK,5,8741,4,1,20,0,120548
AndroidNote,6,8713,0,1,2,0,750
dolphinscheduler,3,8705,30,4,7,0,169661
AgentWeb,5,8645,19,2,8,0,190227
CoreNLP,9,8642,10,2,103,0,1090025
testing-samples,8,8621,0,7,3,0,3338
Calligraphy,9,8614,4,2,3,0,5096
jjwt,8,8567,0,2,8,0,14975
Android_Data,7,8544,0,2,8,0,15202
cim,4,8532,7,5,19,0,356469
android-gpuimage,10,8496,0,2,19,0,367232
awesome-java-leetcode,5,8441,0,2,19,0,370622
BottomBar,6,8437,4,2,19,0,375840
CalendarView,5,8419,0,4,5,0,21974
COLA,4,8409,9,2,5,0,31897
buck,9,8385,57,1,5,0,31897
junit4,13,8361,13,2,14,0,85661
feign,9,8324,24,2,92,0,135483
Android-SpinKit,6,8288,0,2,92,0,138687
metersphere,2,8287,161,2,92,0,531375
dropwizard,11,8283,129,4,12,0,73176
resilience4j,7,8277,29,2,15,0,154176
tech-interview-for-developer,3,8241,0,2,15,0,155287
quickstart-android,6,8220,0,2,15,0,167420
cryptomator,8,8219,133,2,15,0,192053
MaterialViewPager,7,8205,11,2,15,0,195059
AndResGuard,7,8090,4,2,15,0,206751
atlas,5,8075,7,2,15,0,476508
Android-Debug-Database,6,8052,12,2,15,0,480989
airbyte,2,8012,263,2,15,0,672931
epoxy,6,8008,70,2,18,0,756603
hsweb-framework,6,7908,25,2,18,0,789225
material-theme-jetbrains,7,7900,17,2,18,0,815885
SimianArmy,10,7895,4,2,18,0,846232
HomeMirror,7,7890,0,2,18,0,849250
LitePal,9,7884,0,2,18,0,872076
Jetpack-MVVM-Best-Practice,3,7874,0,2,18,0,878679
hugo,9,7839,0,2,18,0,879411
Signal-Server,9,7823,0,2,18,0,940034
react-native-image-picker,7,7733,108,2,18,0,941547
RxLifecycle,7,7711,22,2,18,0,945881
shardingsphere-elasticjob,7,7686,27,2,18,0,985578
SpringCloud,5,7669,0,2,18,0,990802
tsunami-security-scanner,2,7655,14,2,18,0,1003909
metrics,12,7623,92,2,18,0,1047712
QtScrcpy,3,7615,26,2,18,0,1055241
UltimateAndroidReference,5,7565,0,2,18,0,1055281
languagetool,9,7548,0,2,28,0,1394374
RxJava-Android-Samples,8,7542,0,2,28,0,1399186
cassandra,13,7533,0,2,63,0,2236892
debezium,6,7482,0,2,63,0,2488283
kkFileView,5,7468,10,2,63,0,2508119
litho,5,7429,49,2,63,0,2750461
jna,11,7399,0,2,125,0,2915496
subsampling-scale-image-view,9,7375,21,2,125,0,2923218
dataease,1,7361,35,2,125,0,3006746
otter,9,7357,10,2,125,0,3126387
AndroidPdfViewer,6,7345,0,2,125,0,3132396
hellocharts-android,8,7344,14,2,125,0,3151262
vjtools,4,7325,9,2,125,0,3184812
JsonPath,11,7317,8,2,125,0,3214689
MyBookshelf,4,7302,165,2,125,0,3305625
dagger,10,7296,0,2,125,0,3319604
AndroidAsync,10,7289,0,2,125,0,3352393
checkstyle,9,7286,119,2,125,0,3352393
EhViewer,8,7266,97,2,125,0,3431230
agera,7,7265,16,2,125,0,3450108
Android-Bootstrap,9,7265,5,2,125,0,3468304
sweet-alert-dialog,8,7254,2,2,125,0,3470074
UltimateRecyclerView,7,7237,9,2,125,0,3499494
ShortcutBadger,9,7219,0,2,125,0,3501111
spider-flow,2,7215,2,2,125,0,3516467
TakePhoto,7,7204,15,2,125,0,3520940
supertokens-core,2,7165,16,2,125,0,3596248
sonarqube,11,7161,31,2,125,0,4259608
WeChatLuckyMoney,7,7155,20,2,125,0,4261386
android-classyshark,7,7154,17,2,125,0,4277437
ActionBarSherlock,11,7141,32,2,125,0,4323761
spring-security,10,7103,115,2,125,0,4646985
shenyu,4,7103,7,2,125,0,4807197
MVVMHabit,5,7082,3,2,125,0,4823630
algs4,7,7069,0,2,125,0,4864955
SmartTubeNext,2,7065,79,2,125,0,4947929
swagger-core,11,7055,76,2,125,0,5009959
RePlugin,5,7024,17,2,125,0,5065542
SpringCloud-Learning,6,7011,0,2,125,0,5090730
SmartTabLayout,7,7000,0,2,125,0,5094078
cachecloud,6,6974,6,2,125,0,5184122
Mapper,8,6952,2,2,125,0,5215841
LeetCode,2,6887,0,2,125,0,5221862
ruoyi-vue-pro,1,6885,12,2,125,0,5275318
okhttputils,7,6865,0,2,125,0,5278870
im-server,3,6810,72,2,125,0,5502027
elasticsearch-sql,8,6756,193,2,125,0,5538803
Timber,7,6750,5,2,125,0,5577947
DroidPlugin,7,6744,2,2,129,0,5615432
xmall,5,6732,0,2,129,0,5682169
flyway,10,6725,156,2,129,0,5721083
plantuml,12,6724,14,2,129,0,6065454
VBlog,5,6689,0,2,129,0,6066908
AndroidAutoLayout,7,6688,0,2,129,0,6071130
Paper,6,6688,1,2,129,0,6071402
LSPosed,2,6670,34,2,129,0,6108006
XPopup,4,6665,199,2,129,0,6129604
yudao-cloud,3,6627,0,2,129,0,6186137
closure-compiler,8,6604,0,2,129,0,6738430
angel,5,6596,19,2,129,0,7127060
Shadow,3,6586,5,2,129,0,7165989
gocd,9,6583,72,2,129,0,7695790
FrameworkBenchmarks,9,6573,15,2,129,0,7721843
AndPermission,6,6571,0,2,129,0,7730058
walle,5,6485,1,2,129,0,7738059
react-native-push-notification,7,6469,35,2,129,0,7741640
jmeter,12,6453,0,2,129,0,7979893
AndroidPerformanceMonitor,6,6433,0,2,129,0,7983964
nanohttpd,10,6405,3,2,129,0,7996811
Toasty,5,6393,19,2,129,0,7997659
storm,9,6391,0,2,129,0,8613039
android-floating-action-button,8,6380,0,2,129,0,8614968
RoundedImageView,9,6347,19,2,129,0,8617280
datahub,7,6343,62,2,129,0,8730302
testcontainers-java,7,6335,58,2,129,0,8769910
karate,5,6316,46,2,129,0,8846633
mybatis-generator-gui,6,6308,16,5,4,0.5714286,5801
ion,9,6302,0,2,23,0,22831
react-native-video,7,6302,8,3,3,0,5403
react-native-svg,6,6298,84,2,80,0,30348
tomcat,11,6268,0,2,81,0.19375,674056
processing,9,6247,48,2,28,0,201953
rest-assured,12,6026,0,1,28,0,253982
NumberProgressBar,8,6015,3,1,28,0,254684
name,operatingTime,popularity,releases,cbo,dit,lcom_as,loc
rabbitmq-tutorials,12,6004,0,5,1,0,2458
async-http-client,11,5999,0,4,7,0,61312
JFoenix,7,5985,0,2,12,0,104293
dynamic-load-apk,8,5973,0,2,12,0,109055
spring-cloud-examples,5,5971,0,2,12,0,109692
androidmvp,8,5967,0,2,12,0,110177
doris,5,5940,13,2,16,0,657002
xUtils3,7,5938,9,1,16,0,680287
trino,3,6147,0,1,16,0,680287
SwipeBackLayout,9,6144,0,1,16,0,683267
MaterialEditText,8,6117,19,1,16,0,689766
error-prone,8,6094,23,2,24,0,890636
pentaho-kettle,9,6048,1,2,24,0,2349997
aws-doc-sdk-examples,6,6046,0,1,24,0,2443745
material,8,6039,10,1,24,0,2490533
EffectiveAndroidUI,8,6037,0,1,24,0,2494061
physical-web,8,6029,17,1,24,0,2507330
remusic,6,6029,0,1,24,0,2590922
rest-assured,12,6026,0,1,24,0,2642951
NumberProgressBar,8,6015,3,1,24,0,2643653
rabbitmq-tutorials,12,6004,0,1,24,0,2646111
async-http-client,11,5999,0,1,24,0,2704965
JFoenix,7,5985,0,1,24,0,2747946
dynamic-load-apk,8,5973,0,1,24,0,2752708
spring-cloud-examples,5,5971,0,1,24,0,2753345
androidmvp,8,5967,0,1,24,0,2753830
doris,5,5940,13,1,24,0,3300655
xUtils3,7,5938,9,1,24,0,3323940
netty-socketio,10,5910,4,1,24,0,3334393
Android-skin-support,5,5908,0,1,24,0,3370452
richeditor-android,7,5904,0,1,24,0,3371920
j2objc,8,5893,39,1,24,0,3371920
beam,6,5863,24,2,38,0,4373032
Spring-Cloud-Platform,5,5859,3,2,38,0,4384127
alluxio,10,5856,56,2,68,0,4782765
jsonschema2pojo,9,5839,59,2,68,0,4809169
zeppelin,7,5814,0,2,68,0,5129696
material-calendarview,7,5805,22,2,68,0,5136245
motan,6,5802,19,2,68,0,5207399
BoomMenu,6,5765,0,2,68,0,5221857
FEBS-Shiro,4,5763,0,2,68,0,5230052
springside4,10,5762,3,2,68,0,5253335
MinecraftForge,10,5756,0,2,72,0,5353005
from-java-to-kotlin,5,5749,0,2,72,0,5353073
config,11,5745,0,2,72,0,5376039
InfiniteCycleViewPager,6,5720,2,2,72,0,5382559
springBoot,6,5715,0,2,72,0,5394342
u2020,9,5711,0,2,72,0,5402778
OpenSearch,1,5709,22,2,141,0,7197006
transmittable-thread-local,9,5705,53,2,141,0,7207218
DiskLruCache,10,5703,0,2,141,0,7210761
Java-Tutorial,4,5699,0,2,141,0,7210773
ysoserial,7,5696,1,2,141,0,7217661
blade,7,5690,9,2,141,0,7246482
springfox,10,5690,12,2,141,0,7304247
ssm,6,5672,0,2,141,0,7304918
AndroidPicker,7,5670,52,2,141,0,7329810
grafika,9,5669,1,2,141,0,7346532
junit5,7,5390,57,2,141,0,7475920
SystemBarTint,9,5387,3,2,141,0,7477282
android-job,7,5383,31,2,141,0,7496787
springcloud-learning,3,5355,0,2,141,0,7500263
SwipeRecyclerView,6,5350,0,2,141,0,7520109
dubbo-spring-boot-project,4,5338,13,2,141,0,7523482
gradle-retrolambda,9,5338,37,2,141,0,7524630
useful-java-links,6,5332,0,2,141,0,7534908
XRecyclerView,7,5312,0,2,141,0,7544337
cw-omnibus,10,5289,36,2,141,0,7669350
Leaf,4,5581,0,2,141,0,7671749
aurora-imui,6,5579,42,2,141,0,7703979
smali,10,5577,0,2,141,0,7789167
FlowLayout,7,5563,0,2,141,0,7790671
disconf,8,5530,12,2,141,0,7816524
robolectric,12,5527,86,2,141,0,8126143
StickyListHeaders,10,5523,16,2,141,0,8130018
mosby,7,5496,15,2,141,0,8161237
tcc-transaction,7,5492,5,2,141,0,8198820
freeline,6,5490,22,2,141,0,8208561
wechat,7,5206,0,2,141,0,8269332
android-lifecycle,8,5202,0,2,141,0,8270282
titan,10,5201,0,2,141,0,8398317
ksql,6,5199,8,2,141,0,8762805
otto,10,5196,0,2,141,0,8766162
btrace,8,5191,29,2,141,0,8835800
Dexter,7,5175,33,2,141,0,8839473
byte-buddy,9,5166,254,2,141,0,9196729
wiremock,11,5149,5,2,141,0,9270102
AndroidProject,4,5136,17,2,141,0,9304599
dubbo-spring-boot-project,4,5338,13,2,141,0,9307972
gradle-retrolambda,9,5338,37,2,141,0,9309120
useful-java-links,6,5332,0,2,141,0,9319398
XRecyclerView,7,5312,0,2,141,0,9328827
cw-omnibus,10,5289,36,2,141,0,9453840
scribejava,12,5282,7,2,141,0,9476899
react-native-splash-screen,6,5281,12,2,141,0,9477352
Blurry,7,5276,0,2,141,0,9478425
VitamioBundle,10,5271,0,2,141,0,9489365
twoway-view,9,5259,0,2,141,0,9495905
MagicCamera,6,5257,0,2,141,0,9522753
android-advancedrecyclerview,7,5226,1,2,141,0,9559714
FloatingActionButton,7,5223,14,2,141,0,9564800
zxing-android-embedded,10,5213,9,2,141,0,9574133
TapTargetView,6,5209,23,2,141,0,9577635
quartz,6,5209,2,2,141,0,9656070
Side-Menu.Android,7,5206,2,2,141,0,9656893
wechat,7,5206,0,2,141,0,9717664
android-lifecycle,8,5202,0,2,141,0,9718614
titan,10,5201,0,2,141,0,9846649
ksql,6,5199,8,2,141,0,10211137
otto,10,5196,0,2,141,0,10214494
btrace,8,5191,29,2,141,0,10284132
Dexter,7,5175,33,2,141,0,10287805
byte-buddy,9,5166,254,2,141,0,10645061
wiremock,11,5149,5,2,141,0,10718434
AndroidProject,4,5136,17,2,141,0,10752931
Android-ZBLibrary,7,5125,25,2,141,0,10780016
jOOQ,11,5106,0,2,141,0,11162551
itstack-demo-design,2,5104,0,2,141,0,11169797
hibernate-orm,12,5103,16,2,141,0,12524234
KnowStreaming,2,5078,16,2,141,0,12563310
jvm-sandbox,5,5071,12,2,141,0,12588843
lanproxy,6,5070,1,2,141,0,12593857
ctci,9,5059,0,2,141,0,12615316
AndroidVideoCache,7,5045,20,2,141,0,12621291
shimmer-android,7,5045,5,2,141,0,12622745
InstaMaterial,8,5022,1,2,141,0,12626731
UltraViewPager,5,5021,10,2,141,0,12629604
Small,7,5014,25,2,141,0,12642841
Aria,6,5013,26,2,141,0,12722757
hazelcast,10,5009,173,2,580,0,14529329
android-common,10,5007,1,2,580,0,14541686
vavr,8,4997,17,2,580,0,14661829
socket.io-client-java,9,4994,5,2,580,0,14672270
spring-mvc-showcase,11,4988,0,2,580,0,14674637
GmsCore,8,4986,26,2,580,0,14736029
Discovery,4,4986,118,2,580,0,14778733
generator,9,4984,10,2,580,0,14920840
RxJava2-Android-Samples,6,4974,0,2,580,0,14928293
dialogplus,8,4968,9,2,580,0,14930235
gephi,11,4967,17,2,580,0,15153858
RippleEffect,8,4953,0,2,580,0,15154768
android-zxingLibrary,6,4944,0,2,580,0,15158425
GravitySnapHelper,6,4937,14,2,580,0,15159599
NavigationTabBar,6,4926,13,2,580,0,15164053
java-jwt,8,4918,36,2,580,0,15180482
baritone,4,4912,61,2,580,0,15212213
